1;ADMINISTRADOR DISTRITAL    ; ;23;8.059,99;0,00
2;ADMINISTRADOR DISTRITAL    ; ;24;8.163,61;0,00
3;ADMINISTRADOR REGIONAL; ;0;6.317,46;0,00
4;ADMINISTRADOR REGIONAL; ;0;6.317,46;0,00
5;ADMINISTRADOR REGIONAL; ;0;6.317,46;0,00
6;ADMINISTRADOR REGIONAL; ;0;6.317,46;0,00
7;ADMINISTRADOR REGIONAL; ;0;6.317,46;0,00
8;ADMINISTRADOR REGIONAL; ;0;6.327,46;0,00
9;ADMINISTRADOR REGIONAL; ;0;6.332,46;0,00
10;AGENTE ADMINISTRATIVO I; ;25;2.480,58;0,00
11;AGENTE ADMINISTRATIVO I; ;25;2.484,93;0,00
12;AGENTE ADMINISTRATIVO I; ;25;2.525,88;0,00
13;AGENTE ADMINISTRATIVO I; ;29;2.769,46;0,00
14;AGENTE ADMINISTRATIVO I; ;29;2.795,92;0,00
15;AGENTE ADMINISTRATIVO I; ;29;2.973,42;0,00
16;AGENTE ADMINISTRATIVO I;MONITOR;25;2.974,21;0,00
17;AGENTE ADMINISTRATIVO I; ;33;3.265,94;0,00
18;AGENTE ADMINISTRATIVO I;AGENTE DE DEFESA CIVIL;26;3.416,82;0,00
19;AGENTE ADMINISTRATIVO I; ;37;3.443,61;0,00
20;AGENTE ADMINISTRATIVO I; ;29;3.556,76;0,00
21;AGENTE ADMINISTRATIVO I; ;29;3.670,85;1.950,72
22;AGENTE ADMINISTRATIVO I; ;26;3.685,55;2.154,52
23;AGENTE ADMINISTRATIVO I; ;39;3.810,97;0,00
24;AGENTE ADMINISTRATIVO I; ;25;4.189,95;0,00
25;AGENTE ADMINISTRATIVO I; ;26;4.591,53;0,00
26;AGENTE ADMINISTRATIVO I;SUPERVISOR 19C;27;4.601,60;0,00
27;AGENTE ADMINISTRATIVO I;SUPERVISOR 19C;27;4.685,08;0,00
28;AGENTE ADMINISTRATIVO I; ;23;5.059,86;0,00
29;AGENTE ADMINISTRATIVO I; ;28;5.200,19;0,00
30;AGENTE ADMINISTRATIVO I;SUPERVISOR 19B;31;5.366,29;0,00
31;AGENTE ADMINISTRATIVO I;SUPERVISOR 19A;25;5.700,17;0,00
32;AGENTE ADMINISTRATIVO I;MONITOR;27;5.916,64;0,00
33;AGENTE ADMINISTRATIVO I; ;40;6.203,53;377,42
34;AGENTE ADMINISTRATIVO II; ;18;1.315,15;0,00
35;AGENTE ADMINISTRATIVO II; ;16;1.614,63;0,00
36;AGENTE ADMINISTRATIVO II; ;17;1.691,54;0,00
37;AGENTE ADMINISTRATIVO II; ;18;1.699,66;0,00
38;AGENTE ADMINISTRATIVO II; ;17;1.700,10;0,00
39;AGENTE ADMINISTRATIVO II; ;18;1.713,08;0,00
40;AGENTE ADMINISTRATIVO II; ;17;1.715,02;0,00
41;AGENTE ADMINISTRATIVO II; ;18;1.716,66;0,00
42;AGENTE ADMINISTRATIVO II; ;16;1.718,26;0,00
43;AGENTE ADMINISTRATIVO II; ;18;1.728,08;0,00
44;AGENTE ADMINISTRATIVO II; ;18;1.741,45;0,00
45;AGENTE ADMINISTRATIVO II; ;20;1.815,06;0,00
46;AGENTE ADMINISTRATIVO II; ;18;1.868,14;607,34
47;AGENTE ADMINISTRATIVO II; ;19;1.885,74;0,00
48;AGENTE ADMINISTRATIVO II; ;19;1.896,41;0,00
49;AGENTE ADMINISTRATIVO II; ;18;1.909,80;0,00
50;AGENTE ADMINISTRATIVO II; ;18;1.923,01;0,00
51;AGENTE ADMINISTRATIVO II; ;18;1.931,99;0,00
52;AGENTE ADMINISTRATIVO II; ;18;1.933,92;0,00
53;AGENTE ADMINISTRATIVO II; ;18;1.940,08;0,00
54;AGENTE ADMINISTRATIVO II; ;18;1.973,65;0,00
55;AGENTE ADMINISTRATIVO II; ;20;1.973,83;0,00
56;AGENTE ADMINISTRATIVO II; ;18;2.000,64;0,00
57;AGENTE ADMINISTRATIVO II;MONITOR;18;2.029,74;0,00
58;AGENTE ADMINISTRATIVO II; ;19;2.101,88;0,00
59;AGENTE ADMINISTRATIVO II; ;19;2.120,10;209,54
60;AGENTE ADMINISTRATIVO II; ;18;2.123,75;0,00
61;AGENTE ADMINISTRATIVO II; ;21;2.140,93;0,00
62;AGENTE ADMINISTRATIVO II; ;22;2.155,43;0,00
63;AGENTE ADMINISTRATIVO II; ;19;2.169,74;0,00
64;AGENTE ADMINISTRATIVO II; ;17;2.182,95;0,00
65;AGENTE ADMINISTRATIVO II; ;20;2.193,39;703,00
66;AGENTE ADMINISTRATIVO II; ;21;2.209,12;0,00
67;AGENTE ADMINISTRATIVO II; ;26;2.240,27;0,00
68;AGENTE ADMINISTRATIVO II; ;23;2.252,09;0,00
69;AGENTE ADMINISTRATIVO II; ;18;2.261,54;0,00
70;AGENTE ADMINISTRATIVO II; ;21;2.263,59;0,00
71;AGENTE ADMINISTRATIVO II; ;21;2.292,09;0,00
72;AGENTE ADMINISTRATIVO II; ;21;2.303,98;0,00
73;AGENTE ADMINISTRATIVO II; ;20;2.314,53;0,00
74;AGENTE ADMINISTRATIVO II; ;21;2.321,86;0,00
75;AGENTE ADMINISTRATIVO II; ;21;2.322,48;0,00
76;AGENTE ADMINISTRATIVO II; ;21;2.324,91;1.523,48
77;AGENTE ADMINISTRATIVO II; ;21;2.333,02;0,00
78;AGENTE ADMINISTRATIVO II; ;22;2.339,90;0,00
79;AGENTE ADMINISTRATIVO II; ;21;2.358,37;0,00
80;AGENTE ADMINISTRATIVO II; ;23;2.358,37;0,00
81;AGENTE ADMINISTRATIVO II; ;21;2.358,87;0,00
82;AGENTE ADMINISTRATIVO II; ;21;2.369,90;0,00
83;AGENTE ADMINISTRATIVO II; ;22;2.371,64;0,00
84;AGENTE ADMINISTRATIVO II; ;18;2.371,85;0,00
85;AGENTE ADMINISTRATIVO II; ;23;2.372,62;0,00
86;AGENTE ADMINISTRATIVO II; ;23;2.372,74;0,00
87;AGENTE ADMINISTRATIVO II; ;24;2.384,59;0,00
88;AGENTE ADMINISTRATIVO II; ;16;2.389,10;0,00
89;AGENTE ADMINISTRATIVO II; ;26;2.389,62;0,00
90;AGENTE ADMINISTRATIVO II; ;21;2.392,20;0,00
91;AGENTE ADMINISTRATIVO II; ;25;2.394,59;0,00
92;AGENTE ADMINISTRATIVO II; ;23;2.398,32;0,00
93;AGENTE ADMINISTRATIVO II; ;21;2.412,34;0,00
94;AGENTE ADMINISTRATIVO II; ;22;2.457,92;0,00
95;AGENTE ADMINISTRATIVO II; ;22;2.507,07;0,00
96;AGENTE ADMINISTRATIVO II; ;21;2.556,04;0,00
97;AGENTE ADMINISTRATIVO II;MONITOR;23;2.562,07;0,00
98;AGENTE ADMINISTRATIVO II; ;22;2.576,01;0,00
99;AGENTE ADMINISTRATIVO II; ;18;2.577,83;205,86
100;AGENTE ADMINISTRATIVO II; ;26;2.604,21;0,00
101;AGENTE ADMINISTRATIVO II; ;17;2.610,38;0,00
102;AGENTE ADMINISTRATIVO II; ;26;2.620,51;0,00
103;AGENTE ADMINISTRATIVO II; ;22;2.623,72;0,00
104;AGENTE ADMINISTRATIVO II; ;26;2.640,12;0,00
105;AGENTE ADMINISTRATIVO II; ;20;2.640,54;0,00
106;AGENTE ADMINISTRATIVO II; ;18;2.640,54;195,48
107;AGENTE ADMINISTRATIVO II; ;25;2.646,57;0,00
108;AGENTE ADMINISTRATIVO II; ;26;2.657,98;292,38
109;AGENTE ADMINISTRATIVO II; ;26;2.657,98;292,38
110;AGENTE ADMINISTRATIVO II;AGENTE DE DEFESA CIVIL;21;2.677,37;0,00
111;AGENTE ADMINISTRATIVO II; ;22;2.686,46;0,00
112;AGENTE ADMINISTRATIVO II; ;21;2.693,99;0,00
113;AGENTE ADMINISTRATIVO II; ;24;2.694,10;0,00
114;AGENTE ADMINISTRATIVO II;MEMBRO DE COMISSÃO DE LICITAÇÃO;21;2.709,36;0,00
115;AGENTE ADMINISTRATIVO II; ;21;2.716,17;0,00
116;AGENTE ADMINISTRATIVO II;MONITOR;22;2.809,58;0,00
117;AGENTE ADMINISTRATIVO II; ;22;2.825,28;310,78
118;AGENTE ADMINISTRATIVO II; ;26;2.828,04;0,00
119;AGENTE ADMINISTRATIVO II; ;18;2.866,96;0,00
120;AGENTE ADMINISTRATIVO II; ;26;2.878,27;0,00
121;AGENTE ADMINISTRATIVO II; ;22;2.882,92;2.149,48
122;AGENTE ADMINISTRATIVO II; ;19;2.915,17;0,00
123;AGENTE ADMINISTRATIVO II; ;28;2.950,86;0,00
124;AGENTE ADMINISTRATIVO II; ;18;2.969,20;0,00
125;AGENTE ADMINISTRATIVO II; ;27;3.024,64;0,00
126;AGENTE ADMINISTRATIVO II; ;26;3.112,46;0,00
127;AGENTE ADMINISTRATIVO II; ;31;3.113,09;0,00
128;AGENTE ADMINISTRATIVO II;MONITOR;26;3.114,67;0,00
129;AGENTE ADMINISTRATIVO II; ;22;3.125,66;0,00
130;AGENTE ADMINISTRATIVO II; ;18;3.206,63;0,00
131;AGENTE ADMINISTRATIVO II; ;20;3.247,53;0,00
132;AGENTE ADMINISTRATIVO II; ;32;3.304,79;0,00
133;AGENTE ADMINISTRATIVO II; ;26;3.316,02;0,00
134;AGENTE ADMINISTRATIVO II; ;20;3.324,66;0,00
135;AGENTE ADMINISTRATIVO II; ;21;3.374,82;0,00
136;AGENTE ADMINISTRATIVO II;MONITOR;27;3.429,81;0,00
137;AGENTE ADMINISTRATIVO II; ;28;3.431,09;0,00
138;AGENTE ADMINISTRATIVO II; ;40;3.480,59;0,00
139;AGENTE ADMINISTRATIVO II; ;23;3.543,01;0,00
140;AGENTE ADMINISTRATIVO II; ;21;3.547,69;0,00
141;AGENTE ADMINISTRATIVO II; ;21;3.672,57;0,00
142;AGENTE ADMINISTRATIVO II; ;26;3.674,73;0,00
143;AGENTE ADMINISTRATIVO II; ;21;3.696,27;0,00
144;AGENTE ADMINISTRATIVO II; ;36;3.698,16;0,00
145;AGENTE ADMINISTRATIVO II; ;23;3.713,96;0,00
146;AGENTE ADMINISTRATIVO II; ;29;3.720,43;0,00
147;AGENTE ADMINISTRATIVO II; ;18;3.785,96;1.261,99
148;AGENTE ADMINISTRATIVO II; ;20;3.795,77;0,00
149;AGENTE ADMINISTRATIVO II; ;23;3.817,91;0,00
150;AGENTE ADMINISTRATIVO II;SUPERVISOR 19C;18;3.943,32;0,00
151;AGENTE ADMINISTRATIVO II;MONITOR;32;3.947,30;0,00
152;AGENTE ADMINISTRATIVO II; ;23;3.952,63;2.355,94
153;AGENTE ADMINISTRATIVO II;SUPERVISOR 19C;19;3.969,18;0,00
154;AGENTE ADMINISTRATIVO II;SUPERVISOR 19C;16;3.969,69;0,00
155;AGENTE ADMINISTRATIVO II; ;21;3.980,92;0,00
